Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number
182,98230,204,15906,6608.0,7.6,5.3,8.4,7.1,13.4,22.5,11.9,13.8,5.1,4.8,18.0
183,98847,10,1814,626.0,8.9,3.5,7.8,9.1,32.3,18.4,8.8,2.2,0.0,8.9,0.0
184,98467,187,16009,6183.0,6.9,2.6,10.8,7.7,12.0,17.9,13.0,16.8,6.7,5.5,1.0
185,98685,383,28145,10107.0,1.9,3.5,8.2,7.4,9.0,14.1,17.0,19.2,9.8,10.0,14.0
186,98683,367,33652,13351.0,3.7,3.6,7.4,10.1,15.8,19.3,14.0,16.4,5.2,4.5,21.0
187,98270,275,48987,17224.0,5.0,3.3,6.0,7.8,13.4,19.1,16.4,21.1,5.2,2.7,0.0
188,98407,337,21347,9014.0,6.2,3.8,6.7,7.3,11.9,17.9,15.6,15.8,7.2,7.7,7.0
189,99201,64,13634,6536.0,22.9,10.8,16.9,12.1,10.9,13.9,5.7,3.6,1.8,1.5,32.0
190,99223,193,31331,12975.0,6.4,4.7,6.7,8.8,13.7,20.0,12.9,14.8,6.4,5.6,0.0
191,98338,173,26856,9117.0,3.9,2.9,5.1,4.5,13.3,23.3,19.8,19.2,4.2,3.7,0.0
192,99026,54,10002,3684.0,2.6,3.9,8.8,10.7,9.9,24.4,17.5,12.8,4.2,5.2,0.0
193,98371,187,20409,8312.0,4.8,4.2,7.4,8.5,13.3,23.2,12.3,17.3,5.4,3.7,12.0
194,98856,24,2631,1224.0,5.9,6.7,16.0,17.7,18.9,14.6,7.9,7.3,2.9,2.0,1.0
195,98155,539,34174,13261.0,4.1,3.2,8.0,5.3,9.2,18.3,15.0,19.8,8.9,8.1,4.0
196,98506,237,18418,7932.0,5.3,5.5,8.2,7.5,11.9,22.7,12.6,15.9,5.7,4.7,0.0
197,98047,43,6775,2382.0,8.0,0.8,6.2,10.5,21.3,23.9,10.2,17.3,0.7,1.0,0.0
198,99354,159,22911,9095.0,4.0,4.8,7.7,9.7,11.7,19.5,12.0,19.5,6.2,5.0,48.0
199,98903,38,14299,5123.0,7.4,8.0,10.8,10.5,15.9,20.1,11.8,10.5,2.2,2.7,0.0
200,99350,22,13359,4704.0,6.3,5.9,7.7,9.3,14.2,27.5,11.2,10.3,3.0,4.7,2.0
201,98362,138,23026,10010.0,8.4,6.4,11.4,11.2,15.2,17.9,13.6,10.2,3.5,2.0,14.0
202,98926,109,31848,12473.0,14.6,6.4,10.8,8.5,13.0,18.0,11.8,11.3,4.4,1.3,14.0
203,98072,865,23006,8695.0,3.6,1.6,2.6,5.7,7.6,12.3,11.4,21.2,14.6,19.2,46.0
204,98237,12,4370,1648.0,6.6,7.9,16.4,5.3,14.0,21.4,14.1,9.4,4.5,0.4,2.0
205,98240,22,3099,1174.0,1.5,0.0,6.4,9.4,6.0,42.2,18.0,12.3,3.0,1.3,2.0
206,98043,197,20774,8194.0,3.4,3.9,7.1,6.6,14.6,20.6,20.3,14.3,5.4,3.8,7.0
207,98134,85,847,199.0,8.5,7.0,2.0,4.5,20.1,28.1,10.6,13.1,6.0,0.0,64.0
208,98188,181,24912,9631.0,7.6,4.9,12.8,12.7,15.1,21.3,10.3,9.1,4.1,2.3,56.0
209,98671,253,22896,8134.0,3.9,2.0,7.7,7.6,12.6,16.9,19.3,18.8,6.6,4.5,0.0
210,98126,423,22632,9749.0,6.7,3.8,7.6,5.9,12.9,16.3,11.4,16.0,10.5,8.9,1.0
211,98684,230,27550,10136.0,2.5,2.2,8.4,11.2,14.1,22.0,14.7,17.0,4.9,3.0,13.0
212,98045,356,14484,5426.0,4.2,2.8,4.8,3.9,12.0,11.9,13.4,23.0,12.1,11.9,26.0
213,98664,217,22018,8823.0,2.9,2.6,9.6,12.8,18.3,22.6,8.9,14.6,3.1,4.6,1.0
214,98104,347,13989,7529.0,18.1,8.7,13.1,11.3,9.0,13.3,7.7,9.3,3.4,6.1,98.0
215,98102,434,24030,14565.0,4.7,1.9,5.6,6.2,10.9,18.8,13.9,19.9,7.5,10.6,16.0
216,99202,63,19730,6850.0,16.3,10.5,14.0,10.5,17.7,13.3,7.8,4.7,3.9,1.4,12.0
217,98133,519,47522,21269.0,8.5,5.1,9.5,10.4,12.3,17.0,11.3,15.7,6.4,3.7,14.0
218,98665,223,26275,9713.0,5.1,4.0,10.5,10.1,14.7,22.0,14.0,11.2,5.9,2.5,7.0
219,98802,123,29791,10788.0,4.0,3.2,10.1,11.3,14.0,22.6,15.2,13.1,4.5,1.9,4.0
220,98146,295,27456,9670.0,5.2,4.0,8.6,9.5,14.7,16.7,12.2,15.5,8.4,5.2,1.0
221,98178,254,26251,8973.0,5.5,2.5,9.2,9.5,12.1,18.7,16.2,17.6,4.6,4.1,0.0
222,98661,325,44829,17838.0,6.4,6.5,13.6,11.7,16.6,18.2,12.3,9.8,2.3,2.5,11.0
223,98902,63,46300,16322.0,8.9,7.4,14.6,13.4,17.2,20.4,10.0,5.7,0.9,1.5,16.0
