Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number,housing_price_index
222,98661,325,44829,17838,6.4,6.5,13.6,11.7,16.6,18.2,12.3,9.8,2.3,2.5,11,1157.25
223,98902,63,46300,16322,8.9,7.4,14.6,13.4,17.2,20.4,10,5.7,0.9,1.5,16,811.8
224,98203,283,34628,13257,5.6,3.9,9.9,10.7,9.2,20,15,15.3,6.3,4.3,8,1353.97
225,98058,484,43747,15690,3.2,1.9,4.8,6.2,11.2,19,14.3,21.9,9.7,7.7,4,1276.09
226,98204,169,41576,16574,7.1,5.1,11.7,10.3,19.6,21.9,10.1,10.8,2.3,1.1,14,1056.44
227,98030,210,37213,11789,9.4,3.6,8.2,10.5,13.8,19,12.4,16.2,4.3,2.5,6,989.54
228,98027,715,28879,11142,4,1.3,3.5,3.7,9.7,14.3,11.6,21.4,13.4,17.2,32,1547.21
229,98826,102,6827,2923,13.2,3.7,9.5,9,14.5,19.8,10.4,14.2,4.8,0.9,34,604.6
230,98026,528,36844,14559,2,1.8,6.8,5.2,10.8,19.3,15.6,19.3,10.8,8.5,9,1705.17
231,98148,102,11257,4464,7.6,5.6,10.1,11,18,17.7,9.7,12.6,5.2,2.5,4,695.52
232,98815,36,7444,2537,4.9,3.6,10.1,8.2,13,25.5,12.7,10.4,6.7,4.9,0,521.32
233,98953,8,6936,2033,0.3,4,7.3,5.4,19.4,28.4,11.7,17.3,2.5,3.6,4,322.74
234,98922,89,5959,2637,3.3,7.3,14.5,10.9,10.6,22.1,14.2,12.2,1.2,3.7,18,307.8
235,99004,78,19492,6980,14.3,4.9,12.1,10.4,14.3,16.4,11.3,12.8,1.8,1.7,0,379.98
236,98686,253,19212,7237,4.4,2.6,4.8,5.6,13.7,18.6,15.2,20.1,8,7.1,6,653.84
237,98841,8,8538,3439,7.7,8.1,15.8,9.4,12.6,17.7,10.2,13,4.7,0.9,1,331.09
238,98424,100,10705,3874,4.3,2.7,7.9,10.7,14.8,21.6,15.7,14.7,5.2,2.4,6,365.54
